train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef_loss,rollout/success_rate,train/learning_rate,train/ent_coef,time/episodes,train/critic_loss,time/time_elapsed,time/total_timesteps,train/n_updates,time/fps
-11.028668999671936,96.62,-96.53,-1.6964486557990313,0.09,0.0001,0.7146640261635184,1112,0.12853964633541182,17969,108576,3392,6
,97.23,-97.15,,0.08,,,1116,,17975,108800,,6
,96.26,-96.17,,0.09,,,1120,,17987,109472,,6
,95.91,-95.82,,0.09,,,1124,,17994,109952,,6
,95.91,-95.82,,0.09,,,1128,,17999,110208,,6
,96.42,-96.34,,0.08,,,1132,,18003,110464,,6
-10.830817431211472,96.42,-96.34,-1.7287336774170399,0.08,0.0001,0.7101055216044188,1136,0.11966423725243658,18320,110912,3456,6
,96.64,-96.56,,0.08,,,1140,,18323,111072,,6
,96.64,-96.56,,0.08,,,1144,,18328,111328,,6
,96.09,-96.0,,0.09,,,1148,,18338,111904,,6
,95.47,-95.37,,0.1,,,1152,,18349,112544,,6
-10.633216440677643,95.0,-94.89,-1.761376067996025,0.11,0.0001,0.7055750899016857,1156,0.125833970727399,18660,112736,3520,6
,95.0,-94.89,,0.11,,,1160,,18667,113152,,6
,95.0,-94.89,,0.11,,,1164,,18673,113440,,6
,94.29,-94.16,,0.13,,,1168,,18678,113664,,6
,93.85,-93.71,,0.14,,,1172,,18686,114112,,6
,93.85,-93.71,,0.14,,,1176,,18692,114464,,6
-10.43185056746006,93.49,-93.35,-1.7932438608258963,0.14,0.0001,0.7010737638920546,1180,0.14043775701429695,19008,114880,3584,6
,92.9,-92.75,,0.15,,,1184,,19015,115200,,6
,92.9,-92.75,,0.15,,,1188,,19026,115872,,6
,93.5,-93.36,,0.14,,,1192,,19033,116256,,6
,93.78,-93.65,,0.13,,,1196,,19039,116608,,6
-10.237282678484917,93.78,-93.65,-1.8257778901606798,0.13,0.0001,0.6966012101620436,1200,0.12401971052167937,19352,116864,3648,6
,93.78,-93.65,,0.13,,,1204,,19360,117312,,6
,93.98,-93.86,,0.12,,,1208,,19366,117664,,6
,93.98,-93.86,,0.12,,,1212,,19373,118080,,6
,93.98,-93.86,,0.12,,,1216,,19378,118400,,6
-10.041058018803596,95.2,-95.1,-1.8574296087026596,0.1,0.0001,0.6921578720211983,1220,0.12366919702617452,19716,119072,3712,6
,95.72,-95.63,,0.09,,,1224,,19724,119456,,6
,95.72,-95.63,,0.09,,,1228,,19731,119808,,6
,95.72,-95.63,,0.09,,,1232,,19736,120064,,6
,95.72,-95.63,,0.09,,,1236,,19743,120512,,6
-9.849236264824867,96.06,-95.98,-1.8898821361362934,0.08,0.0001,0.687743560411036,1240,0.11501382087590173,20069,120864,3776,6
,95.41,-95.32,,0.09,,,1244,,20071,120960,,6
,95.96,-95.88,,0.08,,,1248,,20084,121504,,6
,95.83,-95.74,,0.09,,,1252,,20095,121952,,6
,96.3,-96.22,,0.08,,,1256,,20104,122336,,6
,96.3,-96.22,,0.08,,,1260,,20113,122784,,6
-9.654760509729385,96.3,-96.22,-1.9223762303590775,0.08,0.0001,0.6833573551848531,1264,0.12291936797555536,20427,123168,3840,6
,97.01,-96.95,,0.06,,,1268,,20434,123552,,6
,97.45,-97.4,,0.05,,,1272,,20443,124064,,6
,97.45,-97.4,,0.05,,,1276,,20445,124160,,6
,98.01,-97.97,,0.04,,,1280,,20454,124704,,6
-9.463901326060295,98.6,-98.57,-1.9542967546731234,0.03,0.0001,0.6789984656497836,1284,0.12001057580346242,20770,125152,3904,6
,98.6,-98.57,,0.03,,,1288,,20777,125536,,6
,98.11,-98.07,,0.04,,,1292,,20784,125952,,6
,97.85,-97.8,,0.05,,,1296,,20789,126208,,6
,97.85,-97.8,,0.05,,,1300,,20795,126464,,6
-9.280016750097275,97.85,-97.8,-1.9869406130164862,0.05,0.0001,0.6746676443144679,1304,0.11547419300768524,21112,127040,3968,6
,97.85,-97.8,,0.05,,,1308,,21118,127360,,6
,97.48,-97.42,,0.06,,,1312,,21127,127904,,6
,97.48,-97.42,,0.06,,,1316,,21133,128192,,6
,97.45,-97.39,,0.06,,,1320,,21142,128736,,6
-9.099591165781021,96.84,-96.77,-2.0190827175974846,0.07,0.0001,0.6703645419329405,1324,0.09797203552443534,21457,129152,4032,6
,96.84,-96.77,,0.07,,,1328,,21459,129280,,6
,96.23,-96.15,,0.08,,,1332,,21466,129568,,6
,95.0,-94.9,,0.1,,,1336,,21468,129664,,6
,94.43,-94.32,,0.11,,,1340,,21476,130176,,6
,95.08,-94.98,,0.1,,,1344,,21483,130560,,6
,95.08,-94.98,,0.1,,,1348,,21491,131072,,6
-8.921921998262405,95.29,-95.2,-2.0520030185580254,0.09,0.0001,0.6660881983116269,1352,0.1090856670634821,21804,131232,4096,6
,94.49,-94.37,,0.12,,,1356,,21816,131936,,6
,94.05,-93.92,,0.13,,,1360,,21823,132352,,6
,94.05,-93.92,,0.13,,,1364,,21826,132480,,6
,94.05,-93.92,,0.13,,,1368,,21832,132864,,6
-8.733234912157059,94.05,-93.92,-2.0839257910847664,0.13,0.0001,0.6618386516347528,1372,0.11412425374146551,22148,133152,4160,6
,93.91,-93.77,,0.14,,,1376,,22158,133728,,6
,93.91,-93.77,,0.14,,,1380,,22167,134272,,6
,93.47,-93.32,,0.15,,,1384,,22172,134432,,6
,92.81,-92.65,,0.16,,,1388,,22177,134720,,6
-8.54951424896717,93.19,-93.03,-2.1163712106645107,0.16,0.0001,0.6576166255399585,1392,0.11313434416661039,22495,135360,4224,6
,93.45,-93.3,,0.15,,,1396,,22499,135584,,6
,93.45,-93.3,,0.15,,,1400,,22509,136064,,6
,93.45,-93.3,,0.15,,,1404,,22513,136320,,6
,93.45,-93.3,,0.15,,,1408,,22523,136928,,6
-8.376491889357567,93.82,-93.68,-2.148471612483263,0.14,0.0001,0.6534217912703753,1412,0.10679428867297247,22840,137472,4288,6
,93.82,-93.68,,0.14,,,1416,,22845,137632,,6
,93.85,-93.71,,0.14,,,1420,,22850,137920,,6
,93.85,-93.71,,0.14,,,1424,,22860,138560,,6
,94.46,-94.33,,0.13,,,1428,,22864,138784,,6
